time,flowcount
"11/20/2022, 19:26:39",9
"11/20/2022, 19:26:41",9
"11/20/2022, 19:26:43",9
"11/20/2022, 19:26:45",9
"11/20/2022, 19:26:47",9
"11/20/2022, 19:26:49",9
"11/20/2022, 19:26:51",9
"11/20/2022, 19:26:53",13
"11/20/2022, 19:26:55",15
"11/20/2022, 19:26:57",15
"11/20/2022, 19:26:59",17
"11/20/2022, 19:27:01",19
"11/20/2022, 19:27:03",21
"11/20/2022, 19:27:05",25
"11/20/2022, 19:27:07",25
"11/20/2022, 19:27:09",27
"11/20/2022, 19:27:11",29
"11/20/2022, 19:27:13",37
"11/20/2022, 19:27:15",37
"11/20/2022, 19:27:17",39
"11/20/2022, 19:27:19",41
"11/20/2022, 19:27:21",41
"11/20/2022, 19:27:23",43
"11/20/2022, 19:27:25",43
"11/20/2022, 19:27:27",49
"11/20/2022, 19:27:29",49
"11/20/2022, 19:27:31",57
"11/20/2022, 19:27:33",59
"11/20/2022, 19:27:35",59
"11/20/2022, 19:27:37",61
"11/20/2022, 19:27:39",61
"11/20/2022, 19:27:41",65
"11/20/2022, 19:27:43",71
"11/20/2022, 19:27:45",71
"11/20/2022, 19:27:47",71
"11/20/2022, 19:27:49",73
"11/20/2022, 19:27:51",73
"11/20/2022, 19:27:53",75
"11/20/2022, 19:27:55",77
"11/20/2022, 19:27:57",77
time,flowcount
"11/20/2022, 19:28:35",11
"11/20/2022, 19:28:37",205
"11/20/2022, 19:28:39",399
"11/20/2022, 19:28:41",592
"11/20/2022, 19:28:43",786
"11/20/2022, 19:28:45",980
"11/20/2022, 19:28:47",1054
"11/20/2022, 19:28:49",1185
"11/20/2022, 19:28:51",1316
"11/20/2022, 19:28:53",1446
"11/20/2022, 19:28:55",1576
"11/20/2022, 19:28:57",1707
"11/20/2022, 19:28:59",1837
"11/20/2022, 19:29:01",1968
"11/20/2022, 19:29:03",2026
"11/20/2022, 19:29:05",2125
"11/20/2022, 19:29:07",2223
"11/20/2022, 19:29:09",2322
"11/20/2022, 19:29:11",2421
"11/20/2022, 19:29:13",2519
"11/20/2022, 19:29:15",2618
"11/20/2022, 19:29:17",2716
"11/20/2022, 19:29:19",2815
"11/20/2022, 19:29:21",2913
"11/20/2022, 19:29:23",3003
"11/20/2022, 19:29:25",3051
"11/20/2022, 19:29:28",3130
"11/20/2022, 19:29:30",3209
"11/20/2022, 19:29:32",3288
"11/20/2022, 19:29:34",3367
"11/20/2022, 19:29:36",3446
"11/20/2022, 19:29:38",3525
"11/20/2022, 19:29:40",3604
"11/20/2022, 19:29:42",3683
"11/20/2022, 19:29:44",3762
"11/20/2022, 19:29:46",3841
"11/20/2022, 19:29:48",3921
"11/20/2022, 19:29:50",4000
"11/20/2022, 19:29:52",4034
"11/20/2022, 19:29:54",4100
"11/20/2022, 19:29:56",4166
"11/20/2022, 19:29:58",4233
"11/20/2022, 19:30:00",4299
"11/20/2022, 19:30:02",4365
"11/20/2022, 19:30:04",4431
"11/20/2022, 19:30:06",4497
"11/20/2022, 19:30:08",4563
time,flowcount
"11/20/2022, 19:31:21",3
"11/20/2022, 19:31:23",11
"11/20/2022, 19:31:25",13
"11/20/2022, 19:31:27",13
"11/20/2022, 19:31:29",17
"11/20/2022, 19:31:31",21
"11/20/2022, 19:31:33",23
"11/20/2022, 19:31:35",25
"11/20/2022, 19:31:37",29
"11/20/2022, 19:31:39",37
"11/20/2022, 19:31:41",37
"11/20/2022, 19:31:43",43
"11/20/2022, 19:31:45",45
"11/20/2022, 19:31:47",49
"11/20/2022, 19:31:49",53
"11/20/2022, 19:31:51",55
"11/20/2022, 19:31:53",55
"11/20/2022, 19:31:55",59
"11/20/2022, 19:31:57",61
"11/20/2022, 19:31:59",61
"11/20/2022, 19:32:01",65
"11/20/2022, 19:32:03",71
"11/20/2022, 19:32:05",71
"11/20/2022, 19:32:07",75
"11/20/2022, 19:32:09",75
"11/20/2022, 19:32:11",77
"11/20/2022, 19:32:13",77
"11/20/2022, 19:32:15",77
"11/20/2022, 19:32:17",77
"11/20/2022, 19:32:19",79
"11/20/2022, 19:32:21",81
"11/20/2022, 19:32:23",81
"11/20/2022, 19:32:25",81
"11/20/2022, 19:32:27",81
time,flowcount
"11/20/2022, 19:32:57",202
"11/20/2022, 19:32:59",203
"11/20/2022, 19:33:01",203
"11/20/2022, 19:33:03",203
"11/20/2022, 19:33:05",203
"11/20/2022, 19:33:07",203
"11/20/2022, 19:33:09",203
"11/20/2022, 19:33:11",203
"11/20/2022, 19:33:13",203
"11/20/2022, 19:33:15",203
"11/20/2022, 19:33:17",203
"11/20/2022, 19:33:19",203
"11/20/2022, 19:33:21",203
"11/20/2022, 19:33:23",203
"11/20/2022, 19:33:25",203
"11/20/2022, 19:33:27",203
"11/20/2022, 19:33:29",203
"11/20/2022, 19:33:31",203
"11/20/2022, 19:33:33",203
"11/20/2022, 19:33:35",203
"11/20/2022, 19:33:37",203
"11/20/2022, 19:33:39",203
"11/20/2022, 19:33:41",203
"11/20/2022, 19:33:43",203
"11/20/2022, 19:33:45",203
"11/20/2022, 19:33:47",203
"11/20/2022, 19:33:49",203
"11/20/2022, 19:33:51",203
"11/20/2022, 19:33:53",203
"11/20/2022, 19:33:55",203
"11/20/2022, 19:33:57",203
"11/20/2022, 19:33:59",203
"11/20/2022, 19:34:01",203
"11/20/2022, 19:34:03",203
"11/20/2022, 19:34:05",203
"11/20/2022, 19:34:07",203
"11/20/2022, 19:34:09",203
"11/20/2022, 19:34:11",203
"11/20/2022, 19:34:13",203
"11/20/2022, 19:34:15",203
"11/20/2022, 19:34:17",203
"11/20/2022, 19:34:19",203
"11/20/2022, 19:34:21",203
"11/20/2022, 19:34:23",203
"11/20/2022, 19:34:25",203
"11/20/2022, 19:34:27",203
"11/20/2022, 19:34:29",203
"11/20/2022, 19:34:31",203
"11/20/2022, 19:34:33",203
"11/20/2022, 19:34:35",203
"11/20/2022, 19:34:37",203
"11/20/2022, 19:34:39",203
"11/20/2022, 19:34:41",203
"11/20/2022, 19:34:43",203
"11/20/2022, 19:34:45",203
"11/20/2022, 19:34:47",203
"11/20/2022, 19:34:49",203
"11/20/2022, 19:34:51",203
"11/20/2022, 19:34:53",203
"11/20/2022, 19:34:55",203
"11/20/2022, 19:34:57",203
"11/20/2022, 19:34:59",203
"11/20/2022, 19:35:01",203
"11/20/2022, 19:35:03",203
"11/20/2022, 19:35:05",203
"11/20/2022, 19:35:07",203
"11/20/2022, 19:35:09",203
"11/20/2022, 19:35:11",203
"11/20/2022, 19:35:13",203
"11/20/2022, 19:35:15",203
"11/20/2022, 19:35:17",203
"11/20/2022, 19:35:19",203
"11/20/2022, 19:35:21",203
"11/20/2022, 19:35:23",203
"11/20/2022, 19:35:25",203
"11/20/2022, 19:35:27",203
"11/20/2022, 19:35:29",203
"11/20/2022, 19:35:31",203
"11/20/2022, 19:35:33",203
"11/20/2022, 19:35:35",203
"11/20/2022, 19:35:37",203
"11/20/2022, 19:35:39",203
"11/20/2022, 19:35:41",203
"11/20/2022, 19:35:43",203
"11/20/2022, 19:35:45",203
"11/20/2022, 19:35:47",203
"11/20/2022, 19:35:49",203
"11/20/2022, 19:35:51",203
"11/20/2022, 19:35:53",203
"11/20/2022, 19:35:55",203
"11/20/2022, 19:35:57",203
"11/20/2022, 19:35:59",203
"11/20/2022, 19:36:01",203
"11/20/2022, 19:36:03",203
"11/20/2022, 19:36:05",203
"11/20/2022, 19:36:07",203
"11/20/2022, 19:36:09",203
"11/20/2022, 19:36:11",203
"11/20/2022, 19:36:13",203
"11/20/2022, 19:36:15",203
"11/20/2022, 19:36:17",203
"11/20/2022, 19:36:19",203
"11/20/2022, 19:36:21",203
"11/20/2022, 19:36:23",203
"11/20/2022, 19:36:25",203
"11/20/2022, 19:36:27",203
"11/20/2022, 19:36:29",203
"11/20/2022, 19:36:31",203
"11/20/2022, 19:36:33",203
"11/20/2022, 19:36:35",203
"11/20/2022, 19:36:37",203
"11/20/2022, 19:36:39",203
"11/20/2022, 19:36:41",203
"11/20/2022, 19:36:43",203
"11/20/2022, 19:36:45",203
"11/20/2022, 19:36:47",203
"11/20/2022, 19:36:49",203
"11/20/2022, 19:36:51",203
"11/20/2022, 19:36:53",203
"11/20/2022, 19:36:55",203
"11/20/2022, 19:36:57",203
"11/20/2022, 19:36:59",202
"11/20/2022, 19:37:01",202
"11/20/2022, 19:37:03",202
"11/20/2022, 19:37:05",202
"11/20/2022, 19:37:07",203
"11/20/2022, 19:37:09",203
"11/20/2022, 19:37:11",203
"11/20/2022, 19:37:13",203
"11/20/2022, 19:37:15",203
"11/20/2022, 19:37:17",203
"11/20/2022, 19:37:19",203
"11/20/2022, 19:37:21",203
"11/20/2022, 19:37:23",203
"11/20/2022, 19:37:25",203
"11/20/2022, 19:37:27",203
"11/20/2022, 19:37:29",203
"11/20/2022, 19:37:31",203
"11/20/2022, 19:37:33",203
"11/20/2022, 19:37:35",203
"11/20/2022, 19:37:37",203
"11/20/2022, 19:37:39",203
"11/20/2022, 19:37:41",203
"11/20/2022, 19:37:43",203
"11/20/2022, 19:37:45",203
"11/20/2022, 19:37:47",203
"11/20/2022, 19:37:49",203
"11/20/2022, 19:37:51",203
"11/20/2022, 19:37:53",203
"11/20/2022, 19:37:55",203
"11/20/2022, 19:37:57",203
"11/20/2022, 19:37:59",203
"11/20/2022, 19:38:01",203
"11/20/2022, 19:38:03",203
"11/20/2022, 19:38:05",203
"11/20/2022, 19:38:07",203
"11/20/2022, 19:38:09",203
"11/20/2022, 19:38:11",203
"11/20/2022, 19:38:13",203
"11/20/2022, 19:38:15",203
"11/20/2022, 19:38:17",203
"11/20/2022, 19:38:19",203
"11/20/2022, 19:38:21",203
"11/20/2022, 19:38:23",203
"11/20/2022, 19:38:25",203
"11/20/2022, 19:38:27",203
"11/20/2022, 19:38:29",203
"11/20/2022, 19:38:31",203
"11/20/2022, 19:38:33",203
"11/20/2022, 19:38:35",203
"11/20/2022, 19:38:37",203
"11/20/2022, 19:38:39",203
"11/20/2022, 19:38:41",203
"11/20/2022, 19:38:43",203
"11/20/2022, 19:38:45",203
"11/20/2022, 19:38:47",203
"11/20/2022, 19:38:49",203
"11/20/2022, 19:38:51",203
"11/20/2022, 19:38:53",203
"11/20/2022, 19:38:55",203
"11/20/2022, 19:38:57",203
"11/20/2022, 19:38:59",203
"11/20/2022, 19:39:01",203
"11/20/2022, 19:39:03",203
"11/20/2022, 19:39:05",203
"11/20/2022, 19:39:07",203
"11/20/2022, 19:39:09",203
"11/20/2022, 19:39:11",203
"11/20/2022, 19:39:13",203
"11/20/2022, 19:39:15",203
"11/20/2022, 19:39:17",203
"11/20/2022, 19:39:19",203
"11/20/2022, 19:39:21",203
"11/20/2022, 19:39:23",203
"11/20/2022, 19:39:25",203
"11/20/2022, 19:39:27",203
"11/20/2022, 19:39:29",203
"11/20/2022, 19:39:31",203
"11/20/2022, 19:39:33",203
"11/20/2022, 19:39:35",203
"11/20/2022, 19:39:37",203
"11/20/2022, 19:39:39",203
"11/20/2022, 19:39:41",203
"11/20/2022, 19:39:43",203
"11/20/2022, 19:39:45",203
"11/20/2022, 19:39:47",203
"11/20/2022, 19:39:49",203
"11/20/2022, 19:39:51",203
"11/20/2022, 19:39:53",203
"11/20/2022, 19:39:55",203
"11/20/2022, 19:39:57",203
"11/20/2022, 19:39:59",203
"11/20/2022, 19:40:01",203
"11/20/2022, 19:40:03",203
"11/20/2022, 19:40:05",203
"11/20/2022, 19:40:07",203
"11/20/2022, 19:40:09",203
"11/20/2022, 19:40:11",203
"11/20/2022, 19:40:13",203
"11/20/2022, 19:40:15",203
"11/20/2022, 19:40:17",203
"11/20/2022, 19:40:19",203
"11/20/2022, 19:40:21",203
"11/20/2022, 19:40:23",203
"11/20/2022, 19:40:25",203
"11/20/2022, 19:40:27",203
"11/20/2022, 19:40:29",203
"11/20/2022, 19:40:31",203
"11/20/2022, 19:40:33",203
"11/20/2022, 19:40:35",203
"11/20/2022, 19:40:37",203
"11/20/2022, 19:40:39",203
"11/20/2022, 19:40:41",203
"11/20/2022, 19:40:43",203
"11/20/2022, 19:40:45",203
"11/20/2022, 19:40:47",203
"11/20/2022, 19:40:49",203
"11/20/2022, 19:40:51",203
"11/20/2022, 19:40:53",203
"11/20/2022, 19:40:55",203
"11/20/2022, 19:40:57",203
"11/20/2022, 19:40:59",203
"11/20/2022, 19:41:01",203
"11/20/2022, 19:41:03",203
"11/20/2022, 19:41:05",203
"11/20/2022, 19:41:07",203
"11/20/2022, 19:41:09",203
"11/20/2022, 19:41:11",203
"11/20/2022, 19:41:13",203
"11/20/2022, 19:41:15",203
"11/20/2022, 19:41:17",203
"11/20/2022, 19:41:19",203
"11/20/2022, 19:41:21",203
"11/20/2022, 19:41:23",203
"11/20/2022, 19:41:25",203
"11/20/2022, 19:41:27",203
"11/20/2022, 19:41:29",203
"11/20/2022, 19:41:31",203
"11/20/2022, 19:41:33",203
"11/20/2022, 19:41:35",203
"11/20/2022, 19:41:37",203
"11/20/2022, 19:41:39",203
"11/20/2022, 19:41:41",203
"11/20/2022, 19:41:43",203
"11/20/2022, 19:41:45",203
"11/20/2022, 19:41:47",203
"11/20/2022, 19:41:49",203
"11/20/2022, 19:41:51",203
"11/20/2022, 19:41:53",203
"11/20/2022, 19:41:55",203
"11/20/2022, 19:41:57",203
"11/20/2022, 19:41:59",203
"11/20/2022, 19:42:01",203
"11/20/2022, 19:42:03",203
"11/20/2022, 19:42:05",203
"11/20/2022, 19:42:07",203
"11/20/2022, 19:42:09",203
"11/20/2022, 19:42:11",203
"11/20/2022, 19:42:13",203
"11/20/2022, 19:42:15",203
"11/20/2022, 19:42:17",203
"11/20/2022, 19:42:19",203
"11/20/2022, 19:42:21",203
"11/20/2022, 19:42:23",203
"11/20/2022, 19:42:25",203
"11/20/2022, 19:42:27",203
"11/20/2022, 19:42:29",203
"11/20/2022, 19:42:31",203
"11/20/2022, 19:42:33",203
"11/20/2022, 19:42:35",203
"11/20/2022, 19:42:37",203
"11/20/2022, 19:42:39",203
"11/20/2022, 19:42:41",203
"11/20/2022, 19:42:43",203
"11/20/2022, 19:42:45",203
"11/20/2022, 19:42:47",203
"11/20/2022, 19:42:49",203
"11/20/2022, 19:42:51",203
"11/20/2022, 19:42:53",203
"11/20/2022, 19:42:55",203
"11/20/2022, 19:42:57",203
"11/20/2022, 19:42:59",203
"11/20/2022, 19:43:01",203
"11/20/2022, 19:43:03",203
"11/20/2022, 19:43:05",203
"11/20/2022, 19:43:07",202
"11/20/2022, 19:43:09",203
"11/20/2022, 19:43:11",203
"11/20/2022, 19:43:13",203
"11/20/2022, 19:43:15",203
"11/20/2022, 19:43:17",203
"11/20/2022, 19:43:19",203
"11/20/2022, 19:43:21",203
"11/20/2022, 19:43:23",203
"11/20/2022, 19:43:25",203
"11/20/2022, 19:43:27",203
"11/20/2022, 19:43:29",203
"11/20/2022, 19:43:31",203
"11/20/2022, 19:43:33",203
"11/20/2022, 19:43:35",203
"11/20/2022, 19:43:37",203
"11/20/2022, 19:43:39",203
"11/20/2022, 19:43:41",203
"11/20/2022, 19:43:43",203
"11/20/2022, 19:43:45",203
"11/20/2022, 19:43:47",203
"11/20/2022, 19:43:49",203
"11/20/2022, 19:43:51",203
"11/20/2022, 19:43:53",203
"11/20/2022, 19:43:55",203
"11/20/2022, 19:43:57",203
"11/20/2022, 19:43:59",203
"11/20/2022, 19:44:01",203
"11/20/2022, 19:44:03",203
"11/20/2022, 19:44:05",203
"11/20/2022, 19:44:07",203
"11/20/2022, 19:44:09",203
"11/20/2022, 19:44:11",203
"11/20/2022, 19:44:13",203
"11/20/2022, 19:44:15",203
"11/20/2022, 19:44:17",203
"11/20/2022, 19:44:19",203
"11/20/2022, 19:44:21",203
"11/20/2022, 19:44:23",203
"11/20/2022, 19:44:25",203
"11/20/2022, 19:44:27",203
"11/20/2022, 19:44:29",203
"11/20/2022, 19:44:31",203
"11/20/2022, 19:44:33",203
"11/20/2022, 19:44:35",203
"11/20/2022, 19:44:37",203
"11/20/2022, 19:44:39",203
"11/20/2022, 19:44:41",203
"11/20/2022, 19:44:43",203
"11/20/2022, 19:44:45",203
"11/20/2022, 19:44:47",203
"11/20/2022, 19:44:49",203
"11/20/2022, 19:44:51",203
"11/20/2022, 19:44:53",203
"11/20/2022, 19:44:55",203
"11/20/2022, 19:44:57",203
"11/20/2022, 19:44:59",203
"11/20/2022, 19:45:01",203
"11/20/2022, 19:45:03",203
"11/20/2022, 19:45:05",203
"11/20/2022, 19:45:07",203
"11/20/2022, 19:45:09",203
"11/20/2022, 19:45:11",203
"11/20/2022, 19:45:13",203
"11/20/2022, 19:45:15",203
"11/20/2022, 19:45:17",203
"11/20/2022, 19:45:19",203
"11/20/2022, 19:45:21",203
"11/20/2022, 19:45:23",203
"11/20/2022, 19:45:25",203
"11/20/2022, 19:45:27",203
"11/20/2022, 19:45:29",203
"11/20/2022, 19:45:31",203
time,flowcount
"11/20/2022, 21:05:57",1
"11/20/2022, 21:05:59",3
"11/20/2022, 21:06:01",5
"11/20/2022, 21:06:03",7
"11/20/2022, 21:06:05",11
"11/20/2022, 21:06:07",13
"11/20/2022, 21:06:09",15
"11/20/2022, 21:06:11",19
"11/20/2022, 21:06:13",25
"11/20/2022, 21:06:15",29
